Write an email
go to the living room,find the computer,took the chair and place the chair to in front of the computer,sat on the chair,switch on the computer,open the email,and compose a new mail


[WALK] <home_office> (1.179)
[WALK] <computer> (1.264)
[FIND] <computer> (1.264)
[TURNTO] <computer> (1.264)
[LOOKAT] <computer> (1.264)
[FIND] <chair> (1.227)
[SIT] <chair> (1.227)
[SWITCHON] <computer> (1.264)
[TURNTO] <computer> (1.264)
[FIND] <mouse> (1.268)
[TURNTO] <mouse> (1.268)
[POINTAT] <mouse> (1.268)
